0.0138	7.2275	0.0462	6.9462	0.0385	6.7016	9.5982	6.9584	2.6943	1.8099	2.9996	1.8833	0.0292	7.0563	0.0734	6.9462	0.0277	6.9584	14.382	6.934	7.5266	2.1279	8.6619	2.1157	0.0408	6.5059	0.0271	2.1523	0.0707	6.9584	14.142	6.9462	16.57	6.7138	9.5274	6.7016	0.0221	6.5059	0.0307	7.0563	0.0331	6.9462	12.09	6.9462	13.462	6.7016	6.341	6.5059
0.0292	6.618	0.0698	8.9343	0.1582	3.2488	24.897	6.648	11.937	3.2488	3.5956	4.3017	0.1058	6.0163	0.46	3.2488	0.0717	3.5196	61.738	3.2488	18.845	3.5196	186.03	3.2488	0.2647	3.1887	0.0964	3.2488	0.8086	3.2488	44.097	2.9781	232.72	3.2488	27.171	2.9781	0.1573	3.2488	0.1562	3.2488	0.3894	3.2488	34.628	6.648	175.97	3.2488	89.329	3.2488
0.0462	7.0111	0.342	6.7886	0.2607	6.4269	115.75	6.7886	23.711	6.4269	5.4701	6.7886	0.1687	6.7886	0.946	6.7886	0.2878	6.7886	191.44	6.7886	43.843	6.7886	47.206	7.039	0.1295	6.4269	0.4864	6.7886	0.2796	6.4269	213.79	6.7886	53.609	6.4269	56.255	6.7886	0.2046	6.4269	0.4711	6.7886	0.2007	6.7886	174.22	6.7886	94.56	6.4269	48.624	6.4269
0.0101	4.4548	0.0898	8.8688	0.0457	4.1967	42.84	4.1832	3.8682	4.414	3.0484	3.6942	0.0495	8.149	0.2873	8.1626	0.0786	8.149	64.929	4.1832	19.756	4.3869	26.567	4.1832	0.033	8.8824	0.1323	4.1832	0.0851	8.1626	67.927	4.1832	13.447	4.8079	10.678	4.2239	0.031	8.8824	0.0992	8.149	0.0355	4.3054	59.066	4.1832	10.59	3.6671	15.303	4.1967
0.0103	6.0828	0.0165	6.0828	0.0277	6.0828	5.8145	1.8726	2.0234	1.8487	1.4816	2.5285	0.0192	6.0947	0.0227	6.0828	0.0091	1.634	4.9794	6.0828	2.4819	1.634	6.6309	6.0828	0.0206	6.0828	0.007	4.58	0.0659	6.0828	6.702	6.0828	24.419	6.0828	5.982	6.0828	0.0082	6.0709	0.0104	6.0709	0.0128	6.0828	2.8058	1.5744	5.9737	6.0828	5.2357	6.0828
0.0507	5.9714	0.0565	12.409	0.2062	6.081	3.9588	2.0407	3.397	6.1769	2.4818	1.849	0.0837	5.9851	0.0728	6.081	0.0951	5.9851	16.141	6.1769	23.906	5.9851	33.114	6.081	0.1123	6.081	0.1368	5.9851	0.2276	6.081	25.675	6.1632	64.183	6.081	33.587	5.9851	0.0921	6.081	0.0378	6.1769	0.0726	6.0262	18.791	6.1769	36.737	6.081	8.7406	6.081
0.0155	6.0548	0.1431	6.0548	0.0771	6.0548	66.033	5.2329	8.4619	5.2329	2.7401	4.1096	0.3743	6.0548	1.1319	6.0548	0.3703	5.1781	425.09	6.0548	250.26	5.1781	201.1	5.2329	0.1166	6.0548	0.5137	6.0548	0.1598	6.0548	423.9	6.0548	136.24	6.0548	89.314	5.1781	0.2962	6.0548	0.5769	6.0548	0.111	6.0548	417.88	6.0548	294.06	6.0548	69.781	4.1096
0.007	6.6437	0.0093	1.9448	0.0173	6.6316	3.1123	1.8723	2.3103	1.9448	1.4461	2.5367	0.0135	6.2209	0.0237	6.6195	0.0096	10.763	3.1101	1.9448	4.91	1.5945	5.4063	6.6195	0.0159	6.6195	0.0142	6.6195	0.0392	6.6195	3.6656	3.4064	7.4449	6.2088	3.4968	1.6307	0.0081	8.6247	0.0144	6.1967	0.0171	6.6074	5.2927	1.9689	4.6689	6.6195	3.3814	6.6074
0.0283	3.9961	0.2102	3.9961	0.1853	3.9961	155.64	3.9961	21.315	3.9961	2.4869	3.9961	0.0367	9.3243	0.6562	3.9961	0.1543	9.3243	192.83	3.9961	13.676	9.3243	22.77	3.9961	0.0477	4.4311	0.373	3.9961	0.0909	3.4524	194.39	3.9961	21.355	4.4311	12.835	4.1049	0.0798	4.4311	0.2553	4.4311	0.0603	6.4155	182.78	3.9961	47.224	3.9961	50.485	3.9961
0.0104	4.0675	0.0761	6.7791	0.0358	8.6681	38.293	5.8803	5.1493	5.8803	2.1783	3.7933	0.033	6.3983	0.3224	6.7791	0.0706	12.842	65.454	5.8803	12.906	6.0936	27.75	6.7791	0.0351	5.926	0.2444	6.2307	0.063	7.556	64.111	5.8803	10.217	8.7595	24.085	6.2307	0.0434	5.8803	0.141	5.8803	0.0471	7.5256	58.596	5.8803	18.34	5.8803	18.551	6.2307
0.0156	3.3118	0.0433	6.6538	0.0784	3.3118	12.707	3.2968	5.7292	3.3118	3.8838	3.357	0.0591	3.3118	0.1108	3.5828	0.0873	3.3118	29.407	3.3118	33.377	3.3118	61.387	3.3118	0.1199	3.3118	0.111	3.3118	0.2396	3.3118	26.83	3.3118	99.181	3.3118	44.656	3.3118	0.0772	3.3118	0.0271	7.2409	0.1081	3.3118	21.982	3.2968	66.852	3.3118	20.025	3.2968
